Date/Time,Close Date,Instrument,Trade Side,Quantity,Entry Price,Exit Price,Fee,Realized PnL,Strategy
2025-12-20 03:02:32,2025-12-20 05:10:32,SPX500,short,1.8,29219.83,1587.58,-0.52,-180.28,range fade
2025-12-21 08:12:59,2025-12-21 11:18:59,SPX500,short,0.64,50429.84,204.31,-3.88,73.47,range fade
2025-12-21 18:17:52,2025-12-21 20:55:52,US30,long,0.75,23634.67,59927.67,-3.15,-226.87,trend follow
2025-12-23 07:45:43,2025-12-23 08:21:43,US30,short,1.27,9019.97,58265.21,-2.46,-80.95,trend follow
2025-12-23 20:13:00,2025-12-23 20:37:00,SPX500,short,1.83,56447.89,32998.77,-3.74,-115.52,breakout
2025-12-25 09:57:16,2025-12-25 12:33:16,SPX500,short,0.11,55613.95,7725.95,-2.62,306.01,trend follow
2025-12-26 01:32:02,2025-12-26 03:55:02,SPX500,short,1.32,18120.09,33483.57,-2.27,-244.43,mean reversion
2025-12-27 05:24:10,2025-12-27 09:48:10,ETHUSD,long,0.91,20036.77,45578.95,-2.42,364.26,mean reversion
2025-12-27 19:42:06,2025-12-27 21:54:06,US30,long,0.52,34220.1,53246.36,-3.87,54.62,range fade
2025-12-28 14:43:06,2025-12-28 15:24:06,SPX500,long,0.56,58064.35,7639.84,-2.77,148.52,mean reversion
2025-12-28 23:52:00,2025-12-29 03:43:00,US30,long,1.7,52386.17,1406.45,-0.65,265.4,range fade
2025-12-30 14:47:17,2025-12-30 19:27:17,SPX500,short,1.94,14983.07,6631.86,-1.19,168.78,breakout
2026-01-01 04:47:56,2026-01-01 04:57:56,ETHUSD,short,0.47,55203.21,38765.8,-1.87,315.21,mean reversion
2026-01-02 08:05:56,2026-01-02 08:51:56,US30,short,1.05,35015.17,23346.11,-1.51,-41.35,breakout
2026-01-02 14:27:16,2026-01-02 17:18:16,ETHUSD,short,0.96,14162.61,14898.8,-4.82,-80.47,trend follow
2026-01-02 22:20:06,2026-01-03 02:05:06,BTCUSD,long,0.52,40074.57,55517.13,-1.52,276.3,breakout
2026-01-04 03:59:35,2026-01-04 04:12:35,US30,short,1.48,30342.22,12392.59,-4.86,170.62,trend follow
2026-01-05 12:01:56,2026-01-05 14:42:56,BTCUSD,long,1.9,29796.31,11320.06,-1.5,104.15,range fade
2026-01-07 00:59:08,2026-01-07 04:30:08,BTCUSD,long,0.43,58449.77,8600.47,-0.73,-49.4,breakout
2026-01-07 13:14:43,2026-01-07 14:21:43,BTCUSD,short,1.86,19821.64,11212.18,-4.71,-222.64,range fade
2026-01-07 20:19:47,2026-01-08 00:15:47,ETHUSD,short,0.23,4786.7,4937.7,-2.39,-246.47,breakout
2026-01-08 21:24:29,2026-01-09 00:12:29,SPX500,long,0.18,42344.86,11823.38,-2.94,312.12,range fade
2026-01-09 09:58:15,2026-01-09 13:38:15,ETHUSD,short,1.63,46023.41,2534.9,-0.66,-126.52,breakout
2026-01-10 19:17:04,2026-01-10 22:20:04,US30,long,0.55,57465.61,37057.01,-1.68,303.97,trend follow
2026-01-12 08:42:29,2026-01-12 09:25:29,BTCUSD,short,1.65,6524.96,42962.71,-2.6,307.15,range fade
2026-01-13 17:33:41,2026-01-13 21:57:41,ETHUSD,short,0.03,55870.27,18268.56,-3.61,-46.19,mean reversion
2026-01-14 20:12:29,2026-01-14 21:02:29,ETHUSD,short,0.79,9680.25,24524.63,-3.42,-123.28,range fade
2026-01-15 20:59:46,2026-01-15 22:02:46,BTCUSD,short,0.54,5136.55,5875.71,-2.74,182.09,range fade
2026-01-16 08:53:05,2026-01-16 11:03:05,BTCUSD,long,1.56,17706.01,16835.87,-1.7,255.72,trend follow
2026-01-17 15:58:44,2026-01-17 18:08:44,ETHUSD,long,0.57,54463.34,11376.18,-0.79,90.58,trend follow
2026-01-19 07:43:20,2026-01-19 11:50:20,BTCUSD,long,0.21,28538.29,49164.25,-4.28,-38.63,trend follow
2026-01-19 15:05:40,2026-01-19 16:54:40,BTCUSD,short,0.75,51981.03,27001.92,-1.67,39.15,breakout
2026-01-20 00:41:28,2026-01-20 02:03:28,BTCUSD,short,0.42,15369.33,36005.46,-3.43,160.11,mean reversion
2026-01-21 10:23:32,2026-01-21 13:12:32,BTCUSD,short,0.41,47737.34,32927.89,-0.78,161.29,breakout
2026-01-22 19:27:04,2026-01-22 21:00:04,SPX500,long,1.39,24646.36,17069.74,-1.88,-36.42,breakout
2026-01-23 12:04:17,2026-01-23 15:20:17,ETHUSD,short,0.79,24357.91,56525.05,-2.45,26.92,mean reversion
2026-01-24 08:28:44,2026-01-24 12:33:44,ETHUSD,long,0.27,3196.55,8635.56,-4.13,355.48,range fade
2026-01-24 17:30:22,2026-01-24 20:38:22,US30,short,0.33,10389.94,4119.09,-2.23,-55.35,mean reversion
2026-01-25 09:45:40,2026-01-25 10:22:40,SPX500,long,0.18,42767.39,41324.17,-4.51,-128.44,mean reversion
2026-01-26 12:52:36,2026-01-26 14:53:36,BTCUSD,long,0.81,31121.76,23076.22,-1.05,-58.0,mean reversion
